2016-06-01T   2.5   270.0 466920
2016-06-02T   1.8    60.0 466920
2016-06-03T   1.4   270.0 466920
2016-06-04T   2.1   280.0 466920
2016-06-05T   1.5   130.0 466920
2016-06-06T   0.9   190.0 466920
2016-06-07T   1.5   150.0 466920
2016-06-08T   1.7   130.0 466920
2016-06-09T   1.6    70.0 466920
2016-06-10T   1.2   190.0 466920
2016-06-11T   0.9   150.0 466920
2016-06-12T   1.1   230.0 466920
2016-06-13T   2.0   250.0 466920
2016-06-14T   1.0   140.0 466920
2016-06-15T   1.4   260.0 466920
2016-06-16T   2.4   260.0 466920
2016-06-17T   1.5   170.0 466920
2016-06-18T   1.5   160.0 466920
2016-06-19T   1.4   160.0 466920
2016-06-20T   1.6   160.0 466920
2016-06-21T   1.6   150.0 466920
2016-06-22T   1.7   280.0 466920
2016-06-23T   1.3   160.0 466920
2016-06-24T   1.8   160.0 466920
2016-06-25T   1.4   160.0 466920
2016-06-26T   1.7   160.0 466920
2016-06-27T   1.5   160.0 466920
2016-06-28T   1.4   160.0 466920
2016-06-29T   1.3   160.0 466920
2016-06-30T   1.0   140.0 466920
2016-06-01T   2.4   200.0 467410
2016-06-02T   2.3   260.0 467410
2016-06-03T   2.5   280.0 467410
2016-06-04T   2.4   290.0 467410
2016-06-05T   2.2   160.0 467410
2016-06-06T   2.1   160.0 467410
2016-06-07T   2.0   290.0 467410
2016-06-08T   2.9   190.0 467410
2016-06-09T   2.8   180.0 467410
2016-06-10T   3.4   190.0 467410
2016-06-11T   3.7   160.0 467410
2016-06-12T   3.4   160.0 467410
2016-06-13T   2.6   110.0 467410
2016-06-14T   3.1   130.0 467410
2016-06-15T   3.2   180.0 467410
2016-06-16T   2.7   220.0 467410
2016-06-17T   2.9   230.0 467410
2016-06-18T   2.7   240.0 467410
2016-06-19T   2.1    10.0 467410
2016-06-20T   2.0   110.0 467410
2016-06-21T   2.2   110.0 467410
2016-06-22T   2.6   200.0 467410
2016-06-23T   2.7   240.0 467410
2016-06-24T   3.2   150.0 467410
2016-06-25T   3.2   240.0 467410
2016-06-26T   2.2   220.0 467410
2016-06-27T   2.2   320.0 467410
2016-06-28T   4.6   210.0 467410
2016-06-29T   4.3   200.0 467410
2016-06-30T   3.0   250.0 467410
2016-06-01T   2.7   180.0 467490
2016-06-02T   2.5   170.0 467490
2016-06-03T   2.2   170.0 467490
2016-06-04T   2.3   210.0 467490
2016-06-05T   1.2   190.0 467490
2016-06-06T   0.7   170.0 467490
2016-06-07T   0.9   290.0 467490
2016-06-08T   0.8   140.0 467490
2016-06-09T   1.3   160.0 467490
2016-06-10T   0.9    80.0 467490
2016-06-11T   1.6   160.0 467490
2016-06-12T   1.6   170.0 467490
