2015-12-01T   3.1    60.0 466920
2015-12-02T   1.4   300.0 466920
2015-12-03T   3.9    60.0 466920
2015-12-04T   4.5    70.0 466920
2015-12-05T   3.8    70.0 466920
2015-12-06T   1.7    60.0 466920
2015-12-07T   3.5    60.0 466920
2015-12-08T   4.8    60.0 466920
2015-12-09T   3.6    60.0 466920
2015-12-10T   1.3   260.0 466920
2015-12-11T   2.9    60.0 466920
2015-12-12T   3.1    60.0 466920
2015-12-13T   4.0    60.0 466920
2015-12-14T   3.2    60.0 466920
2015-12-15T   3.6    60.0 466920
2015-12-16T   2.7    30.0 466920
2015-12-17T   2.9    20.0 466920
2015-12-18T   2.5    70.0 466920
2015-12-19T   4.2    60.0 466920
2015-12-20T   2.1    50.0 466920
2015-12-21T   2.6    50.0 466920
2015-12-22T   1.6   130.0 466920
2015-12-23T   1.6    60.0 466920
2015-12-24T   1.0   310.0 466920
2015-12-25T   2.5    60.0 466920
2015-12-26T   2.9    60.0 466920
2015-12-27T   1.7    60.0 466920
2015-12-28T   3.0    60.0 466920
2015-12-29T   3.7    70.0 466920
2015-12-30T   3.0    60.0 466920
2015-12-31T   3.6    70.0 466920
2015-12-01T   3.1    10.0 467410
2015-12-02T   3.5    10.0 467410
2015-12-03T   3.3    20.0 467410
2015-12-04T   3.0    10.0 467410
2015-12-05T   3.0    20.0 467410
2015-12-06T   5.9    10.0 467410
2015-12-07T   3.3    10.0 467410
2015-12-08T   3.3    10.0 467410
2015-12-09T   2.4    20.0 467410
2015-12-10T   4.6    10.0 467410
2015-12-11T   3.8    20.0 467410
2015-12-12T   3.0    10.0 467410
2015-12-13T   3.3    10.0 467410
2015-12-14T   4.5    10.0 467410
2015-12-15T   4.6    10.0 467410
2015-12-16T   7.0    10.0 467410
2015-12-17T   5.4    10.0 467410
2015-12-18T   3.2    30.0 467410
2015-12-19T   2.4   350.0 467410
2015-12-20T   1.7    20.0 467410
2015-12-21T   3.1    20.0 467410
2015-12-22T   2.7   360.0 467410
2015-12-23T   2.0    20.0 467410
2015-12-24T   2.2    60.0 467410
2015-12-25T   4.2    30.0 467410
2015-12-26T   3.5    40.0 467410
2015-12-27T   4.8    30.0 467410
2015-12-28T   5.2    40.0 467410
2015-12-29T   3.8    40.0 467410
2015-12-30T   3.8    40.0 467410
2015-12-31T   4.3    40.0 467410
2015-12-01T   1.1   310.0 467490
2015-12-02T   1.1   340.0 467490
2015-12-03T   1.9   360.0 467490
2015-12-04T   1.3   330.0 467490
2015-12-05T   1.3   340.0 467490
2015-12-06T   2.4   350.0 467490
2015-12-07T   1.8   350.0 467490
2015-12-08T   1.2   340.0 467490
2015-12-09T   0.8   320.0 467490
2015-12-10T   1.5   350.0 467490
2015-12-11T   1.5   350.0 467490
2015-12-12T   0.9   340.0 467490
2015-12-13T   1.0   320.0 467490
2015-12-14T   1.3   330.0 467490
2015-12-15T   2.5   360.0 467490
2015-12-16T   3.4   360.0 467490
2015-12-17T   3.2   360.0 467490
2015-12-18T   1.1   360.0 467490
2015-12-19T   0.4   330.0 467490
2015-12-20T   1.0   360.0 467490
2015-12-21T   1.1   360.0 467490
2015-12-22T   1.0   210.0 467490
2015-12-23T   0.6   330.0 467490
2015-12-24T   0.8   330.0 467490
2015-12-25T   2.1   360.0 467490
2015-12-26T   1.1   340.0 467490
2015-12-27T   2.0   350.0 467490
2015-12-28T   2.6   360.0 467490
2015-12-29T   1.1   330.0 467490
2015-12-30T   1.6   350.0 467490
2015-12-31T   2.2   350.0 467490
2015-12-01T   1.7    50.0 467660
2015-12-02T   1.2   330.0 467660
2015-12-03T   2.6   340.0 467660
2015-12-04T   2.1   340.0 467660
2015-12-05T   1.6   340.0 467660
2015-12-06T   2.2    40.0 467660
2015-12-07T   1.9   340.0 467660
2015-12-08T   2.6   340.0 467660
2015-12-09T   1.8   340.0 467660
2015-12-10T   1.8    40.0 467660
2015-12-11T   2.2   340.0 467660
2015-12-12T   2.1    50.0 467660
2015-12-13T   1.8    50.0 467660
2015-12-14T   2.1   340.0 467660
2015-12-15T   2.6    40.0 467660
2015-12-16T   2.8    40.0 467660
2015-12-17T   2.7   340.0 467660
2015-12-18T   2.7   340.0 467660
2015-12-19T   2.6   340.0 467660
2015-12-20T   1.8   340.0 467660
2015-12-21T   1.6   340.0 467660
2015-12-22T   1.3   340.0 467660
2015-12-23T   1.1   340.0 467660
2015-12-24T   1.1    40.0 467660
2015-12-25T   1.9   340.0 467660
2015-12-26T   1.3   360.0 467660
2015-12-27T   2.2    30.0 467660
2015-12-28T   1.5   340.0 467660
2015-12-29T   1.9   330.0 467660
2015-12-30T   2.0    40.0 467660
2015-12-31T   2.1   340.0 467660
2016-01-01T   3.9    50.0 466920
2016-01-02T   0.6   120.0 466920
2016-01-03T   1.1    60.0 466920
2016-01-04T   0.4   180.0 466920
2016-01-05T   1.2    70.0 466920
2016-01-06T   1.7    50.0 466920
2016-01-07T   3.1    60.0 466920
2016-01-08T   2.2    50.0 466920
2016-01-09T   4.0    60.0 466920
2016-01-10T   1.7    60.0 466920
2016-01-11T   1.3   270.0 466920
2016-01-12T   2.5    60.0 466920
2016-01-13T   2.5    60.0 466920
2016-01-14T   2.3    70.0 466920
2016-01-15T   0.9   180.0 466920
2016-01-16T   2.8    60.0 466920
2016-01-17T   1.1   270.0 466920
2016-01-18T   2.8    60.0 466920
2016-01-19T   3.3    60.0 466920
2016-01-20T   4.0    70.0 466920
2016-01-21T   1.3    70.0 466920
2016-01-22T   2.7    60.0 466920
2016-01-23T   1.8    20.0 466920
2016-01-24T   2.0   320.0 466920
2016-01-25T   2.1    60.0 466920
2016-01-26T   2.8   120.0 466920
2016-01-27T   1.5    90.0 466920
2016-01-28T   1.0   250.0 466920
2016-01-29T   1.4   190.0 466920
2016-01-30T   1.8    60.0 466920
2016-01-31T   4.3    60.0 466920
2016-01-01T   3.4    40.0 467410
2016-01-02T   3.2    50.0 467410
2016-01-03T   3.0    40.0 467410
2016-01-04T   2.3    50.0 467410
2016-01-05T   2.1    50.0 467410
2016-01-06T   4.1    40.0 467410
2016-01-07T   4.1    50.0 467410
2016-01-08T   4.9    40.0 467410
2016-01-09T   3.9    70.0 467410
2016-01-10T   3.5    60.0 467410
2016-01-11T   4.1    60.0 467410
2016-01-12T   4.4    50.0 467410
2016-01-13T   4.9    40.0 467410
2016-01-14T   4.0    40.0 467410
2016-01-15T   3.4    50.0 467410
2016-01-16T   2.4    50.0 467410
2016-01-17T   2.8    50.0 467410
2016-01-18T   4.6    30.0 467410
2016-01-19T   3.7    20.0 467410
2016-01-20T   3.8    30.0 467410
2016-01-21T   4.3    40.0 467410
2016-01-22T   3.6    40.0 467410
2016-01-23T   7.8    30.0 467410
2016-01-24T   8.6    30.0 467410
2016-01-25T   5.3    30.0 467410
2016-01-26T   3.3    30.0 467410
2016-01-27T   2.7    80.0 467410
2016-01-28T   3.1    60.0 467410
2016-01-29T   3.5    50.0 467410
2016-01-30T   3.8    30.0 467410
2016-01-31T   4.2    40.0 467410
2016-01-01T   1.1   340.0 467490
2016-01-02T   0.7   330.0 467490
2016-01-03T   0.6   330.0 467490
2016-01-04T   0.5   230.0 467490
2016-01-05T   0.6   340.0 467490
2016-01-06T   1.7    10.0 467490
2016-01-07T   1.9   340.0 467490
2016-01-08T   2.2   360.0 467490
2016-01-09T   1.6   340.0 467490
2016-01-10T   1.1   340.0 467490
2016-01-11T   1.4   360.0 467490
2016-01-12T   2.2   350.0 467490
2016-01-13T   2.1   350.0 467490
2016-01-14T   1.6   330.0 467490
2016-01-15T   0.9    10.0 467490
2016-01-16T   1.1   330.0 467490
2016-01-17T   1.4   360.0 467490
2016-01-18T   1.9   350.0 467490
2016-01-19T   1.6   350.0 467490
2016-01-20T   1.4   330.0 467490
2016-01-21T   1.7   350.0 467490
2016-01-22T   1.7   360.0 467490
2016-01-23T   4.1   360.0 467490
2016-01-24T   3.4    10.0 467490
2016-01-25T   2.5   360.0 467490
2016-01-26T   0.9   330.0 467490
2016-01-27T   0.8   340.0 467490
2016-01-28T   0.9   360.0 467490
2016-01-29T   1.1    20.0 467490
2016-01-30T   1.5   340.0 467490
2016-01-31T   1.5   320.0 467490
2016-01-01T   1.9    40.0 467660
2016-01-02T   0.8   320.0 467660
2016-01-03T   0.9    30.0 467660
2016-01-04T   1.0    30.0 467660
2016-01-05T   1.2   310.0 467660
2016-01-06T   2.6    30.0 467660
2016-01-07T   2.0   350.0 467660
2016-01-08T   1.7   350.0 467660
2016-01-09T   1.8    40.0 467660
2016-01-10T   1.4    40.0 467660
2016-01-11T   1.5   330.0 467660
2016-01-12T   1.5   320.0 467660
2016-01-13T   1.2   310.0 467660
2016-01-14T   1.4   330.0 467660
2016-01-15T   1.2   320.0 467660
2016-01-16T   0.9   320.0 467660
2016-01-17T   1.8   300.0 467660
2016-01-18T   2.4   340.0 467660
2016-01-19T   2.2   330.0 467660
2016-01-20T   3.1   330.0 467660
2016-01-21T   2.6    20.0 467660
2016-01-22T   2.6   330.0 467660
2016-01-23T   4.2   330.0 467660
2016-01-24T   3.2   340.0 467660
2016-01-25T   3.7   330.0 467660
2016-01-26T   3.2   340.0 467660
2016-01-27T   2.9   330.0 467660
2016-01-28T   1.7   330.0 467660
2016-01-29T   2.2   310.0 467660
2016-01-30T   2.4   330.0 467660
2016-01-31T   3.2   330.0 467660
2016-02-01T   3.1    60.0 466920
2016-02-02T   2.5    60.0 466920
2016-02-03T   3.1    60.0 466920
2016-02-04T   1.4    60.0 466920
2016-02-05T   1.2   300.0 466920
2016-02-06T   1.5   310.0 466920
2016-02-07T   1.4   160.0 466920
2016-02-08T   1.5    50.0 466920
2016-02-09T   1.5    50.0 466920
2016-02-10T   1.3    90.0 466920
2016-02-11T   1.1    80.0 466920
2016-02-12T   0.8    50.0 466920
2016-02-13T   1.3   160.0 466920
2016-02-14T   2.2    60.0 466920
2016-02-15T   2.4    50.0 466920
2016-02-16T   2.8    70.0 466920
2016-02-17T   2.8    70.0 466920
2016-02-18T   3.2    60.0 466920
2016-02-19T   1.4   260.0 466920
2016-02-20T   1.9    20.0 466920
2016-02-21T   4.5    60.0 466920
2016-02-22T   1.1   270.0 466920
2016-02-23T   1.7    60.0 466920
2016-02-24T   3.8    60.0 466920
2016-02-25T   3.9    60.0 466920
2016-02-26T   2.9    70.0 466920
2016-02-27T   1.2   220.0 466920
2016-02-28T   2.4    60.0 466920
2016-02-29T   3.4    50.0 466920
2016-02-01T   6.1    30.0 467410
2016-02-02T   4.7    40.0 467410
2016-02-03T   4.2    40.0 467410
2016-02-04T   5.1    40.0 467410
2016-02-05T   6.0    30.0 467410
2016-02-06T   8.0    40.0 467410
2016-02-07T   5.0    40.0 467410
2016-02-08T   3.6    60.0 467410
2016-02-09T   1.9    80.0 467410
2016-02-10T   1.7    80.0 467410
2016-02-11T   2.8    80.0 467410
2016-02-12T   2.9   170.0 467410
2016-02-13T   2.4   170.0 467410
2016-02-14T   3.1    70.0 467410
2016-02-15T   5.4    80.0 467410
2016-02-16T   2.9    90.0 467410
2016-02-17T   2.8    80.0 467410
2016-02-18T   3.7    70.0 467410
2016-02-19T   3.8    80.0 467410
2016-02-20T   5.3    70.0 467410
